total_income,essentials_percentage,savings_percentage,investments_percentage,discretionary_percentage,risk_tolerance,financial_status
1626,46.7,16.76,5.02,31.53,Low,stable
1959,42.39,22.4,13.79,21.43,High,stable
1360,67.51,19.51,7.85,5.13,Medium,strain
1794,57.09,22.34,27.08,0.0,Low,stable
1630,34.76,25.73,28.2,11.31,Low,stable
1595,32.76,5.86,11.4,49.98,Low,stable
1544,49.34,13.14,14.18,23.33,Medium,strain
621,38.8,28.98,29.6,2.62,High,stable
966,40.16,28.73,19.15,11.96,High,growth
1738,65.11,5.28,17.43,12.19,Low,strain
830,33.58,10.04,17.51,38.87,Medium,stable
1982,58.61,29.84,22.4,0.0,Medium,growth
587,40.85,17.32,28.86,12.97,High,growth
1896,60.41,19.32,14.17,6.1,High,growth
1623,58.9,9.16,9.32,22.63,Medium,growth
1371,30.3,27.36,9.63,32.72,High,growth
630,50.37,10.78,5.51,33.34,Low,stable
1832,35.57,9.74,18.89,35.8,High,growth
1269,64.65,10.7,28.23,0.0,Medium,strain
843,64.86,27.99,22.83,0.0,Low,stable
1937,46.73,22.57,29.82,0.87,Medium,stable
1305,47.78,24.21,27.74,0.27,High,growth
885,42.13,14.43,17.3,26.15,High,growth
1715,58.66,27.73,17.16,0.0,Low,stable
1455,44.35,24.74,20.71,10.21,Low,strain
776,40.71,23.76,7.77,27.75,Low,stable
1684,47.29,29.27,20.19,3.25,Low,stable
959,33.66,14.15,16.6,35.58,High,growth
1837,59.86,20.27,21.07,0.0,Medium,strain
521,30.5,27.75,19.13,22.62,High,growth
752,55.78,24.77,12.76,6.69,High,growth
1247,37.31,19.08,20.19,23.41,Low,growth
1356,39.3,6.91,14.15,39.65,Low,growth
974,55.43,21.32,9.87,13.39,Medium,strain
1582,69.72,18.16,21.88,0.0,Medium,growth
1010,61.11,9.6,12.66,16.63,High,growth
1999,39.03,27.06,27.23,6.68,Medium,strain
1199,37.04,13.58,9.98,39.39,Low,stable
1475,64.65,14.69,20.0,0.66,Low,growth
689,47.77,21.81,19.29,11.13,Low,stable
1457,35.48,17.22,9.94,37.35,High,growth
1186,64.49,7.23,16.0,12.28,Medium,growth
1457,62.64,14.69,21.89,0.78,Low,strain
1062,69.36,7.36,12.96,10.32,High,strain
1767,66.39,9.77,7.85,16.0,High,stable
1331,64.07,5.18,20.38,10.37,High,growth
1654,32.1,9.53,10.6,47.76,Medium,strain
1146,34.18,13.26,22.04,30.53,Medium,growth
520,52.76,18.46,25.99,2.8,Medium,growth
1340,51.26,27.98,8.08,12.68,High,stable
666,48.32,18.51,15.94,17.23,High,growth
1797,45.87,22.64,16.12,15.37,Medium,strain
887,47.25,13.94,20.81,18.0,Low,stable
1100,52.77,23.79,13.36,10.08,Medium,strain
815,30.08,20.51,15.46,33.94,High,stable
513,40.43,16.49,5.3,37.78,High,stable
741,50.73,9.84,8.06,31.36,High,growth
1276,58.89,12.59,19.25,9.28,High,stable
1869,36.97,20.52,10.4,32.11,High,stable
1064,51.88,15.65,8.61,23.86,High,growth
1397,58.58,27.23,13.11,1.08,Medium,stable
1863,47.79,10.87,9.09,32.26,High,stable
591,31.08,6.83,6.49,55.6,High,strain
1890,47.97,19.73,12.1,20.2,High,strain
